fecha,total,top_5
2026-02-09T00:00:00-04:00,39435.160,31245.835
2026-02-10T00:00:00-04:00,35660.155,32576.066
2026-02-11T00:00:00-04:00,47239.126,40034.148
2026-02-12T00:00:00-04:00,33086.595,29892.262
2026-02-13T00:00:00-04:00,35915.294,31701.529
2026-02-14T00:00:00-04:00,40304.144,36646.710
2026-02-15T00:00:00-04:00,24145.511,22008.222
2026-02-16T00:00:00-04:00,29647.260,26987.602
2026-02-17T00:00:00-04:00,21389.952,19681.956
2026-02-18T00:00:00-04:00,42646.349,38391.678
2026-02-19T00:00:00-04:00,38280.652,33582.066
2026-02-20T00:00:00-04:00,32529.097,29047.173
2026-02-21T00:00:00-04:00,21088.958,19560.908
2026-02-22T00:00:00-04:00,25375.625,22983.701
2026-02-23T00:00:00-04:00,47448.708,42102.977
2026-02-24T00:00:00-04:00,52441.824,46629.505
2026-02-25T00:00:00-04:00,40282.589,35384.336
2026-02-26T00:00:00-04:00,52091.417,45052.668
2026-02-27T00:00:00-04:00,43580.672,38522.024
2026-02-28T00:00:00-04:00,23476.136,20969.225
2026-03-01T00:00:00-04:00,15559.058,14388.019
2026-03-02T00:00:00-04:00,38557.075,34918.721
2026-03-03T00:00:00-04:00,44265.129,38139.187
2026-03-04T00:00:00-04:00,33400.816,30310.904
2026-03-05T00:00:00-04:00,33379.430,29864.236
2026-03-06T00:00:00-04:00,43657.251,40595.975
2026-03-07T00:00:00-04:00,27031.480,25582.815
2026-03-08T00:00:00-04:00,17535.904,16141.977
2026-03-09T00:00:00-04:00,52320.168,46383.988
2026-03-10T00:00:00-04:00,40067.042,35735.509
2026-03-11T00:00:00-04:00,43813.286,38443.342
2026-03-12T00:00:00-04:00,34497.190,31285.313
2026-03-13T00:00:00-04:00,33831.188,31029.773
2026-03-14T00:00:00-04:00,26237.396,24737.231
2026-03-15T00:00:00-04:00,20951.994,19875.142
2026-03-16T00:00:00-04:00,45595.488,40874.080
2026-03-17T00:00:00-04:00,39887.194,35190.928
2026-03-18T00:00:00-04:00,38049.491,34833.975
2026-03-19T00:00:00-04:00,51622.889,45995.195
2026-03-20T00:00:00-04:00,33170.213,29255.639
2026-03-21T00:00:00-04:00,27153.163,25160.441
2026-03-22T00:00:00-04:00,18884.211,17276.368
2026-03-23T00:00:00-04:00,42134.005,37321.924
2026-03-24T00:00:00-04:00,49184.715,44775.690
2026-03-25T00:00:00-04:00,46631.169,41637.110
2026-03-26T00:00:00-04:00,36782.075,32785.578
2026-03-27T00:00:00-04:00,43966.415,40907.467
2026-03-28T00:00:00-04:00,40468.887,37503.098
2026-03-29T00:00:00-04:00,31529.265,26834.303
2026-03-30T00:00:00-04:00,49333.919,43878.636
2026-03-31T00:00:00-04:00,58217.331,50488.342
2026-04-01T00:00:00-04:00,37670.841,34338.605
2026-04-02T00:00:00-04:00,46665.804,41499.706
2026-04-03T00:00:00-04:00,27082.485,25456.409
2026-04-04T00:00:00-04:00,27993.403,24631.107
2026-04-05T00:00:00-04:00,26825.203,25105.735
2026-04-06T00:00:00-04:00,62813.487,54758.653
2026-04-07T00:00:00-04:00,35423.447,32098.647
2026-04-08T00:00:00-04:00,56685.180,50226.148
2026-04-09T00:00:00-04:00,50031.794,46575.909
2026-04-10T00:00:00-04:00,58238.740,51044.885
2026-04-11T00:00:00-04:00,30113.078,27804.965
2026-04-12T00:00:00-04:00,34266.089,31589.836
2026-04-13T00:00:00-04:00,51770.356,46318.989
2026-04-14T00:00:00-04:00,49965.774,45435.792
2026-04-15T00:00:00-04:00,26773.119,24506.806
2026-04-16T00:00:00-04:00,54584.441,50044.734
2026-04-17T00:00:00-04:00,37250.569,33515.663
2026-04-18T00:00:00-04:00,38451.782,35098.537
2026-04-19T00:00:00-04:00,27505.234,25708.332
2026-04-20T00:00:00-04:00,36792.313,33763.524
2026-04-21T00:00:00-04:00,42224.283,38383.022
2026-04-22T00:00:00-04:00,43902.915,36467.401
2026-04-23T00:00:00-04:00,28168.615,24870.489
2026-04-24T00:00:00-04:00,42742.980,39210.337
2026-04-25T00:00:00-04:00,38551.387,34528.537
2026-04-26T00:00:00-04:00,33346.911,31619.458
2026-04-27T00:00:00-04:00,46870.441,44207.178
2026-04-28T00:00:00-04:00,33390.141,29852.313
2026-04-29T00:00:00-04:00,32474.156,30155.894
2026-04-30T00:00:00-04:00,57427.955,48007.196
2026-05-01T00:00:00-04:00,35317.156,30478.919
2026-05-02T00:00:00-04:00,33881.809,29699.491
2026-05-03T00:00:00-04:00,30120.987,26406.707
2026-05-04T00:00:00-04:00,56464.611,51649.572
2026-05-05T00:00:00-04:00,40553.735,36174.660
2026-05-06T00:00:00-04:00,33918.318,28800.615
2026-05-07T00:00:00-04:00,53525.301,44237.653
2026-05-08T00:00:00-04:00,47666.145,41664.905
2026-05-09T07:27:05-04:00,20094.900,18659.730
