fecha,total,top_5
2026-02-08T00:00:00-04:00,38027.964,35330.704
2026-02-09T00:00:00-04:00,49997.074,43545.023
2026-02-10T00:00:00-04:00,51192.258,43812.792
2026-02-11T00:00:00-04:00,55899.670,49380.226
2026-02-12T00:00:00-04:00,52915.316,46732.396
2026-02-13T00:00:00-04:00,47847.372,41834.883
2026-02-14T00:00:00-04:00,43712.184,39538.202
2026-02-15T00:00:00-04:00,38302.509,35132.050
2026-02-16T00:00:00-04:00,32471.889,28657.064
2026-02-17T00:00:00-04:00,40568.199,38372.414
2026-02-18T00:00:00-04:00,48036.105,44580.811
2026-02-19T00:00:00-04:00,36476.339,33923.282
2026-02-20T00:00:00-04:00,39256.990,35999.046
2026-02-21T00:00:00-04:00,32594.011,30657.821
2026-02-22T00:00:00-04:00,40576.181,38301.021
2026-02-23T00:00:00-04:00,43964.326,40476.292
2026-02-24T00:00:00-04:00,40337.734,37668.552
2026-02-25T00:00:00-04:00,50425.100,43635.426
2026-02-26T00:00:00-04:00,64642.002,60579.855
2026-02-27T00:00:00-04:00,58739.949,54152.493
2026-02-28T00:00:00-04:00,50270.694,47333.422
2026-03-01T00:00:00-04:00,23985.999,23009.031
2026-03-02T00:00:00-04:00,50088.630,46300.731
2026-03-03T00:00:00-04:00,93780.292,84102.303
2026-03-04T00:00:00-04:00,64367.597,58136.878
2026-03-05T00:00:00-04:00,64605.538,57167.435
2026-03-06T00:00:00-04:00,51779.276,44389.997
2026-03-07T00:00:00-04:00,58832.297,51916.955
2026-03-08T00:00:00-04:00,39919.895,37745.306
2026-03-09T00:00:00-04:00,54482.094,48527.471
2026-03-10T00:00:00-04:00,64035.599,59445.599
2026-03-11T00:00:00-04:00,76302.452,69316.313
2026-03-12T00:00:00-04:00,50604.526,45229.067
2026-03-13T00:00:00-04:00,41835.741,38547.371
2026-03-14T00:00:00-04:00,51570.548,46204.615
2026-03-15T00:00:00-04:00,30203.461,29020.067
2026-03-16T00:00:00-04:00,54073.372,50291.676
2026-03-17T00:00:00-04:00,60880.389,57195.193
2026-03-18T00:00:00-04:00,62449.779,56304.756
2026-03-19T00:00:00-04:00,49793.401,46536.978
2026-03-20T00:00:00-04:00,54109.362,49625.433
2026-03-21T00:00:00-04:00,49683.945,47314.651
2026-03-22T00:00:00-04:00,48807.239,47022.022
2026-03-23T00:00:00-04:00,64723.680,59509.859
2026-03-24T00:00:00-04:00,68121.829,61160.333
2026-03-25T00:00:00-04:00,52636.107,47375.290
2026-03-26T00:00:00-04:00,49798.627,46589.871
2026-03-27T00:00:00-04:00,75735.844,67397.816
2026-03-28T00:00:00-04:00,53069.337,48894.743
2026-03-29T00:00:00-04:00,34536.913,31562.764
2026-03-30T00:00:00-04:00,52453.229,47836.184
2026-03-31T00:00:00-04:00,78602.973,69713.209
2026-04-01T00:00:00-04:00,62532.522,53464.491
2026-04-02T00:00:00-04:00,60977.845,58755.582
2026-04-03T00:00:00-04:00,47492.232,44235.955
2026-04-04T00:00:00-04:00,43010.829,39190.076
2026-04-05T00:00:00-04:00,33764.218,31221.816
2026-04-06T00:00:00-04:00,72333.309,66132.975
2026-04-07T00:00:00-04:00,65588.251,57566.617
2026-04-08T00:00:00-04:00,64145.149,59441.458
2026-04-09T00:00:00-04:00,74712.969,65964.339
2026-04-10T00:00:00-04:00,57753.455,52571.514
2026-04-11T00:00:00-04:00,59967.565,53103.055
2026-04-12T00:00:00-04:00,40789.250,38714.241
2026-04-13T00:00:00-04:00,76560.971,65564.908
2026-04-14T00:00:00-04:00,80995.653,70969.259
2026-04-15T00:00:00-04:00,83034.194,75517.776
2026-04-16T00:00:00-04:00,66387.524,58686.642
2026-04-17T00:00:00-04:00,85784.555,72681.881
2026-04-18T00:00:00-04:00,53951.332,47332.892
2026-04-19T00:00:00-04:00,48347.519,44395.144
2026-04-20T00:00:00-04:00,109136.173,98135.161
2026-04-21T00:00:00-04:00,67878.361,57633.474
2026-04-22T00:00:00-04:00,73287.562,62426.055
2026-04-23T00:00:00-04:00,94857.116,82223.529
2026-04-24T00:00:00-04:00,81007.703,73753.131
2026-04-25T00:00:00-04:00,51080.470,46027.263
2026-04-26T00:00:00-04:00,46412.725,43966.226
2026-04-27T00:00:00-04:00,97665.172,81138.182
2026-04-28T00:00:00-04:00,83476.684,73222.882
2026-04-29T00:00:00-04:00,77613.311,64954.315
2026-04-30T00:00:00-04:00,71642.238,67379.332
2026-05-01T00:00:00-04:00,39556.844,36903.824
2026-05-02T00:00:00-04:00,47646.271,44091.106
2026-05-03T00:00:00-04:00,44818.657,40923.620
2026-05-04T00:00:00-04:00,79121.372,70172.425
2026-05-05T00:00:00-04:00,89089.623,80555.203
2026-05-06T00:00:00-04:00,63787.023,53951.792
2026-05-07T00:00:00-04:00,58384.853,51729.947
2026-05-08T15:40:07-04:00,167470.940,152821.850
